,Model,Predictor,Top1,Top5,alpha,Coverage,Size,F1
0,Cifar10ConvModel,Fixed,0.517,0.916,0.05,0.948,5.07,0.47
1,Cifar10ConvModel,Naive,0.52,0.918,0.05,0.954,5.205,0.472
2,Cifar10ConvModel,APS,0.519,0.918,0.05,0.951,5.064,0.47
3,Cifar10ConvModel,RAPS,0.516,0.918,0.05,0.948,5.059,0.47
4,Cifar10ConvModel,Fixed,0.517,0.915,0.1,0.897,4.029,0.468
5,Cifar10ConvModel,Naive,0.519,0.918,0.1,0.905,4.106,0.471
6,Cifar10ConvModel,APS,0.516,0.917,0.1,0.901,4.056,0.47
7,Cifar10ConvModel,RAPS,0.518,0.917,0.1,0.898,4.003,0.471
8,Cifar10Resnet20,Fixed,0.512,0.881,0.05,0.953,6.342,0.478
9,Cifar10Resnet20,Naive,0.509,0.884,0.05,0.957,6.555,0.473
10,Cifar10Resnet20,APS,0.511,0.881,0.05,0.948,6.27,0.475
11,Cifar10Resnet20,RAPS,0.51,0.878,0.05,0.946,6.296,0.474
12,Cifar10Resnet20,Fixed,0.508,0.88,0.1,0.899,4.858,0.472
13,Cifar10Resnet20,Naive,0.508,0.881,0.1,0.899,4.839,0.474
14,Cifar10Resnet20,APS,0.508,0.879,0.1,0.896,4.827,0.469
15,Cifar10Resnet20,RAPS,0.509,0.878,0.1,0.898,4.859,0.473
